IGHT - RIGHT, NIGHT, LIGHT, MIGHT, EIGHT, FIGHT, WEIGHT, FLIGHT, STRAIGHT, COPYRIGHT
IRED - TIRED, WIRED, FIRED, HIRED, DESIRED, RETIRED, EXPIRED, REQUIRED, ACQUIRED, INSPIRED
THER - OTHER, EITHER, RATHER, MOTHER, FATHER, ANOTHER, FURTHER, WHETHER, WEATHER, TOGETHER
OUND - FOUND, SOUND, ROUND, BOUND, POUND, AROUND, GROUND, COMPOUND, BACKGROUND, UNDERGROUND
NDER - UNDER, GENDER, WONDER, FINDER, SENDER, TENDER, FOUNDER, REMINDER, ALEXANDER, COMMANDER
ORTS - PORTS, SPORTS, SHORTS, REPORTS, EFFORTS, RESORTS, IMPORTS, EXPORTS, SUPPORTS, AIRPORTS
ARDS - CARDS, YARDS, BOARDS, AWARDS, TOWARDS, REGARDS, EDWARDS, REWARDS, STANDARDS, KEYBOARDS
NTER - ENTER, INTER, CENTER, WINTER, HUNTER, PRINTER, COUNTER, POINTER, PICHUNTER, MILFHUNTER
VING - HAVING, LIVING, MOVING, GIVING, SAVING, DRIVING, SERVING, LEAVING, RECEIVING, IMPROVING
ANDS - HANDS, BANDS, LANDS, BRANDS, STANDS, ISLANDS, DEMANDS, COMMANDS, THOUSANDS, NETHERLANDS
RESS - PRESS, DRESS, STRESS, ADDRESS, EXPRESS, ACTRESS, PROGRESS, CONGRESS, MISTRESS, WORDPRESS
LING - FILING, MAILING, SELLING, CALLING, FEELING, WILLING, DEALING, HANDLING, GAMBLING, STERLING
KING - MAKING, TAKING, LOOKING, WORKING, FUCKING, TALKING, PARKING, BANKING, THINKING, NETWORKING
WING - SWING, SEWING, SHOWING, GROWING, VIEWING, DRAWING, KNOWING, ALLOWING, FOLLOWING, REVIEWING
AGES - PAGES, WAGES, IMAGES, STAGES, DAMAGES, MESSAGES, PACKAGES, LANGUAGES, MORTGAGES, ADVANTAGES
LLED - CALLED, FILLED, KILLED, PULLED, ROLLED, SKILLED, ENROLLED, INSTALLED, CANCELLED, CONTROLLED
ITED - CITED, UNITED, EDITED, LIMITED, VISITED, INVITED, EXCITED, UNLIMITED, PROHIBITED, ACCREDITED
YING - TRYING, BUYING, SAYING, PAYING, FLYING, PLAYING, CARRYING, APPLYING, DISPLAYING, IDENTIFYING
STER - MASTER, POSTER, FASTER, SISTER, MONSTER, REGISTER, MINISTER, DISASTER, WEBMASTER, MANCHESTER
NDED - ENDED, FUNDED, HANDED, AMENDED, FOUNDED, INTENDED, EXTENDED, EXPANDED, ATTENDED, RECOMMENDED
GHTS - RIGHTS, LIGHTS, NIGHTS, FLIGHTS, HEIGHTS, WEIGHTS, THOUGHTS, INSIGHTS, HIGHLIGHTS, COPYRIGHTS
NING - RUNNING, WARNING, MORNING, OPENING, EVENING, WINNING, TRAINING, LEARNING, PLANNING, BEGINNING
CTOR - ACTOR, SECTOR, DOCTOR, FACTOR, VECTOR, DIRECTOR, COLLECTOR, CONNECTOR, CONTRACTOR, INSTRUCTOR
TING - RATING, LISTING, MEETING, HOSTING, GETTING, WRITING, STARTING, EXISTING, MARKETING, OPERATING
LINE - ONLINE, OFFLINE, AIRLINE, MEDLINE, OUTLINE, DECLINE, PIPELINE, DEADLINE, BASELINE, DISCIPLINE
SURE - ENSURE, ASSURE, MEASURE, LEISURE, CLOSURE, PRESSURE, EXPOSURE, PLEASURE, TREASURE, DISCLOSURE
CHES - INCHES, WATCHES, MATCHES, PATCHES, BEACHES, SEARCHES, CHURCHES, SWITCHES, BRANCHES, APPROACHES
INGS - RINGS, THINGS, RATINGS, SAVINGS, SPRINGS, LISTINGS, SETTINGS, MEETINGS, BUILDINGS, PROCEEDINGS
PING - HOPING, KEEPING, HELPING, MAPPING, CAMPING, SHIPPING, SHOPPING, SLEEPING, WRAPPING, DEVELOPING
LLER - SELLER, MILLER, KILLER, ROLLER, SMALLER, RESELLER, THRILLER, TRAVELLER, CONTROLLER, POWERSELLER
DERS - ORDERS, READERS, LEADERS, HOLDERS, BORDERS, FOLDERS, BUILDERS, PROVIDERS, DISORDERS, CAMCORDERS
GING - AGING, IMAGING, LODGING, CHANGING, MANAGING, BRINGING, EMERGING, BLOGGING, PACKAGING, MESSAGING
STED - POSTED, LISTED, HOSTED, TESTED, TRUSTED, ADJUSTED, SUGGESTED, REQUESTED, INTERESTED, POSTPOSTED
RIAL - TRIAL, SERIAL, AERIAL, MATERIAL, MEMORIAL, TUTORIAL, IMPERIAL, EDITORIAL, BACTERIAL, INDUSTRIAL
TURE - FUTURE, NATURE, MATURE, PICTURE, CULTURE, FEATURE, FURNITURE, STRUCTURE, LITERATURE, TEMPERATURE
ECTS - EFFECTS, OBJECTS, ASPECTS, AFFECTS, DEFECTS, PROJECTS, SUBJECTS, REFLECTS, PROSPECTS, ARCHITECTS
MING - COMING, GAMING, TIMING, WYOMING, UPCOMING, BECOMING, SWIMMING, STREAMING, PERFORMING, PROGRAMMING
RING - BRING, DURING, SPRING, STRING, HEARING, SHARING, OFFERING, MONITORING, ENGINEERING, MANUFACTURING
